Product,Year,Week,Day,Quantity_Ordered,Price_Each,Week_sin,Week_cos,Qty_Lag_1,Qty_Rolling_3
Air conditioners,2019,1,1,31,651.6129032258065,0.12053668025532305,0.992708874098054,0.0,0.0
Bluetooth Headphones,2019,1,1,19,102.09526315789473,0.12053668025532305,0.992708874098054,0.0,0.0
Phone accessories,2019,1,1,94,3.311969696969697,0.12053668025532305,0.992708874098054,0.0,0.0
Phone cables,2019,1,1,116,13.038155339805826,0.12053668025532305,0.992708874098054,0.0,0.0
Refrigerators,2019,1,1,18,1349.995,0.12053668025532305,0.992708874098054,0.0,0.0
Smartwatches,2019,1,1,29,149.99724137931034,0.12053668025532305,0.992708874098054,0.0,0.0
Washing machines,2019,1,1,36,363.0486111111111,0.12053668025532305,0.992708874098054,0.0,0.0
Air conditioners,2019,1,2,31,648.3870967741935,0.12053668025532305,0.992708874098054,31.0,0.0
Bluetooth Headphones,2019,1,2,28,103.2042857142857,0.12053668025532305,0.992708874098054,19.0,0.0
Phone accessories,2019,1,2,97,3.4476923076923076,0.12053668025532305,0.992708874098054,94.0,0.0
Phone cables,2019,1,2,107,12.96375,0.12053668025532305,0.992708874098054,116.0,0.0
Refrigerators,2019,1,2,20,1314.9945,0.12053668025532305,0.992708874098054,18.0,0.0
Smartwatches,2019,1,2,52,149.99666666666667,0.12053668025532305,0.992708874098054,29.0,0.0
Washing machines,2019,1,2,33,363.62969696969697,0.12053668025532305,0.992708874098054,36.0,0.0
Air conditioners,2019,1,3,23,647.8260869565217,0.12053668025532305,0.992708874098054,31.0,0.0
Bluetooth Headphones,2019,1,3,30,101.99,0.12053668025532305,0.992708874098054,28.0,0.0
Phone accessories,2019,1,3,84,3.415,0.12053668025532305,0.992708874098054,97.0,0.0
Phone cables,2019,1,3,117,13.06728155339806,0.12053668025532305,0.992708874098054,107.0,0.0
Refrigerators,2019,1,3,7,1399.9957142857143,0.12053668025532305,0.992708874098054,20.0,0.0
Smartwatches,2019,1,3,37,149.99567567567567,0.12053668025532305,0.992708874098054,52.0,0.0
Washing machines,2019,1,3,32,372.491875,0.12053668025532305,0.992708874098054,33.0,0.0
Air conditioners,2019,1,4,22,631.8181818181819,0.12053668025532305,0.992708874098054,23.0,28.333333333333332
Bluetooth Headphones,2019,1,4,23,103.03347826086956,0.12053668025532305,0.992708874098054,30.0,25.666666666666668
Phone accessories,2019,1,4,71,3.3441666666666667,0.12053668025532305,0.992708874098054,84.0,91.66666666666667
Phone cables,2019,1,4,121,12.959629629629628,0.12053668025532305,0.992708874098054,117.0,113.33333333333333
Refrigerators,2019,1,4,18,1388.8844444444444,0.12053668025532305,0.992708874098054,7.0,15.0
Smartwatches,2019,1,4,39,149.99615384615385,0.12053668025532305,0.992708874098054,37.0,39.333333333333336
Washing machines,2019,1,4,36,363.8836111111111,0.12053668025532305,0.992708874098054,32.0,33.666666666666664
Air conditioners,2019,1,5,19,636.8421052631579,0.12053668025532305,0.992708874098054,22.0,25.333333333333332
Bluetooth Headphones,2019,1,5,28,101.77571428571427,0.12053668025532305,0.992708874098054,23.0,27.0
Phone accessories,2019,1,5,113,3.3858904109589045,0.12053668025532305,0.992708874098054,71.0,84.0
Phone cables,2019,1,5,118,12.983571428571427,0.12053668025532305,0.992708874098054,121.0,115.0
Refrigerators,2019,1,5,11,1254.5390909090909,0.12053668025532305,0.992708874098054,18.0,15.0
Smartwatches,2019,1,5,39,149.99605263157895,0.12053668025532305,0.992708874098054,39.0,42.666666666666664
Washing machines,2019,1,5,27,370.732962962963,0.12053668025532305,0.992708874098054,36.0,33.666666666666664
Air conditioners,2019,1,6,30,640.0,0.12053668025532305,0.992708874098054,19.0,21.333333333333332
Bluetooth Headphones,2019,1,6,28,102.21222222222222,0.12053668025532305,0.992708874098054,28.0,27.0
Phone accessories,2019,1,6,84,3.389242424242424,0.12053668025532305,0.992708874098054,113.0,89.33333333333333
Phone cables,2019,1,6,105,12.991249999999999,0.12053668025532305,0.992708874098054,118.0,118.66666666666667
Refrigerators,2019,1,6,12,1291.6608333333334,0.12053668025532305,0.992708874098054,11.0,12.0
Smartwatches,2019,1,6,39,149.99666666666667,0.12053668025532305,0.992708874098054,39.0,38.333333333333336
Washing machines,2019,1,6,21,367.61285714285714,0.12053668025532305,0.992708874098054,27.0,31.666666666666668
Air conditioners,2019,1,30,57,649.1228070175439,0.12053668025532305,0.992708874098054,30.0,23.666666666666668
Bluetooth Headphones,2019,1,30,80,102.52164556962025,0.12053668025532305,0.992708874098054,28.0,26.333333333333332
Phone accessories,2019,1,30,278,3.3987431693989074,0.12053668025532305,0.992708874098054,84.0,89.33333333333333
Phone cables,2019,1,30,275,12.964803149606299,0.12053668025532305,0.992708874098054,105.0,114.66666666666667
Refrigerators,2019,1,30,39,1358.969487179487,0.12053668025532305,0.992708874098054,12.0,13.666666666666666
Smartwatches,2019,1,30,108,149.99644859813085,0.12053668025532305,0.992708874098054,39.0,39.0
Washing machines,2019,1,30,91,367.3569230769231,0.12053668025532305,0.992708874098054,21.0,28.0
Air conditioners,2019,1,31,50,646.0,0.12053668025532305,0.992708874098054,57.0,35.333333333333336
Bluetooth Headphones,2019,1,31,70,103.32333333333332,0.12053668025532305,0.992708874098054,80.0,45.333333333333336
Phone accessories,2019,1,31,305,3.404734299516908,0.12053668025532305,0.992708874098054,278.0,158.33333333333334
Phone cables,2019,1,31,277,12.893875968992248,0.12053668025532305,0.992708874098054,275.0,166.0
Refrigerators,2019,1,31,41,1256.091219512195,0.12053668025532305,0.992708874098054,39.0,20.666666666666668
Smartwatches,2019,1,31,74,149.9967605633803,0.12053668025532305,0.992708874098054,108.0,62.0
Washing machines,2019,1,31,69,358.25565217391306,0.12053668025532305,0.992708874098054,91.0,46.333333333333336
Air conditioners,2019,2,7,23,656.5217391304348,0.23931566428755774,0.970941817426052,50.0,45.666666666666664
Bluetooth Headphones,2019,2,7,30,102.32333333333332,0.23931566428755774,0.970941817426052,70.0,59.333333333333336
Phone accessories,2019,2,7,100,3.456901408450704,0.23931566428755774,0.970941817426052,305.0,222.33333333333334
Phone cables,2019,2,7,109,13.096796116504855,0.23931566428755774,0.970941817426052,277.0,219.0
Refrigerators,2019,2,7,13,1323.0715384615385,0.23931566428755774,0.970941817426052,41.0,30.666666666666668
Smartwatches,2019,2,7,39,149.99589743589743,0.23931566428755774,0.970941817426052,74.0,73.66666666666667
Washing machines,2019,2,7,29,368.268275862069,0.23931566428755774,0.970941817426052,69.0,60.333333333333336
Air conditioners,2019,2,8,18,633.3333333333334,0.23931566428755774,0.970941817426052,23.0,43.333333333333336
Bluetooth Headphones,2019,2,8,21,101.49,0.23931566428755774,0.970941817426052,30.0,60.0
